1,209283_at,211040_x_at,222872_x_at,227095_at,211708_s_at,202377_at,225534_at,226045_at,1569053_at,235549_at
1,7.2367,10.894,10.279,9.4197,13.536,11.24,12.959,8.5431,7.948,3.1733
1,11.211,9.8846,8.953,9.8274,10.185,12.687,12.334,8.885,8.5616,6.2374
1,6.4257,10.306,8.1585,8.9326,10.209,10.71,11.728,9.5196,8.0371,5.3372
-1,6.608,10.904,11.214,9.7457,11.725,11.954,10.206,8.7474,7.5878,6.7647
1,7.0099,9.3602,7.3297,9.4134,10.899,11.71,12.477,9.7282,7.8869,8.1924
1,6.4015,10.916,10.549,8.5519,11.084,11.419,10.583,8.6138,8.5672,7.3037
1,6.9835,10.717,10.005,9.2443,10.085,11.507,11.496,8.9567,7.9438,5.8106
1,7.085,10.902,9.483,10.748,11.438,12.258,12.065,9.2046,8.7861,6.0707
-1,9.533,10.723,9.2306,8.1873,10.838,11.265,11.173,8.8149,7.7304,7.3509
1,13.354,11.094,10.726,9.723,10.881,12.078,11.762,9.2646,7.9119,4.7369
1,10.16,10.781,8.5311,9.9882,11.586,11.701,11.697,9.0389,8.5993,6.228
1,6.9911,10.621,8.5414,9.1327,11.868,10.666,11.167,7.7808,8.2151,5.537
1,5.403,10.706,10.155,8.0038,10.254,10.37,12.325,8.5237,7.6414,4.3368
1,6.5872,9.9804,9.711,8.8658,12.632,10.692,10.943,8.9225,8.6793,4.6136
1,5.1893,10.395,8.8232,8.931,10.397,11.194,11.49,8.6494,7.914,4.6936
1,5.1945,9.7605,9.3247,10.042,10.617,11.036,10.95,8.5262,7.7552,5.8779
1,5.6475,10.834,9.1305,9.0774,11.07,10.573,11.641,8.4789,8.8088,4.4583
1,5.6271,10.025,8.2997,9.1142,9.9598,10.269,11.773,8.1786,7.9096,4.5473
1,8.3483,10.425,8.5514,10.154,10.501,11.628,12.035,8.0215,8.1643,2.7939
-1,11.703,10.744,10.648,11.701,10.064,12.817,11.491,8.6225,7.0815,6.5374
1,4.8244,10.544,9.5853,9.4232,11.649,12.145,11.979,8.546,8.1585,2.4884
-1,6.9871,9.4583,10.833,11.343,10.499,12.629,9.7813,8.9002,6.5109,3.1742
-1,8.2399,9.6024,11.655,11.365,10.886,12.648,10.968,10.323,7.1821,6.9618
1,6.1683,10.962,9.0246,9.866,11.415,11.208,11.886,9.179,8.8289,2.9205
1,6.7725,10.114,10.577,9.201,11.541,12.237,12.263,9.4078,7.0015,7.4557
1,7.5408,10.962,10.26,9.3096,10.745,10.884,10.237,8.7517,7.975,4.6188
1,6.2539,10.666,7.925,9.4491,9.9638,10.524,11.114,7.8062,7.8417,3.3554
1,4.9084,11.976,8.3144,8.2988,10.509,9.259,11.181,8.0057,8.0047,4.4833
1,5.7459,10.911,9.5545,8.5642,10.67,10.118,11.523,8,7.6022,4.3017
1,6.5678,10.906,9.8433,10.6,10.041,11.375,11.781,7.5281,7.9152,2.816
1,6.0425,11.726,9.4113,8.8698,10.047,9.6542,11.098,8.5213,8.9283,3.7758
1,5.3068,10.35,10.776,9.2237,11.581,10.914,12.321,7.8058,7.4935,5.7076
1,5.3472,10.331,10.666,11.96,9.7942,13.535,12.455,7.6118,8.2312,5.1923
1,5.5298,10.305,10.92,9.1105,11.707,11.317,10.353,7.9314,8.1892,6.8555
1,6.2352,11.455,9.5009,9.8118,10.72,11.821,11.015,8.415,9.0574,6.2309
-1,9.0981,10.425,9.7253,10.372,11.52,11.208,11.732,9.3974,9.031,5.4987
1,7.9965,10.435,9.8802,8.2013,11.576,10.622,11.178,8.3955,9.1936,5.6017
-1,11.699,10.001,10.099,10.286,9.4452,11.289,9.7927,9.4901,8.2199,6.9014
-1,7.0509,11.292,11.144,9.391,11.97,11.852,10.506,7.9139,9.2804,5.1267
1,8.5018,11.026,9.3414,9.2316,13.032,11.203,12.095,7.9254,7.9284,5.6519
-1,12.811,9.9296,10.304,10.854,10.915,11.321,10.342,9.7196,6.9766,8.1
-1,12.329,9.8422,10.142,9.5474,10.685,12.067,10.8,8.7823,8.5073,2.4042
-1,5.9308,10.077,10.135,10.166,10.559,11.935,12.176,8.87,8.9485,9.5887
-1,11.672,9.7043,10.434,10.883,10.02,12.143,11.028,9.0967,7.6316,7.2783
1,7.4522,10.514,11.493,9.422,11.43,11.4,12.403,9.1999,8.3624,8.3253
-1,14.005,10.599,10.971,10.651,10.173,12.473,10.788,9.7802,7.2799,10.874
-1,7.1299,10.3,10.821,9.9481,10.604,12.152,11.451,8.0213,8.0769,4.216
-1,12.041,9.3726,10.905,11.332,8.2169,12.596,12.319,8.9128,8.2575,7.0193
1,7.7396,10.177,9.175,9.5048,11.243,11.683,11.346,8.978,7.9883,7.9283
1,6.5985,9.8512,9.3943,11.232,11.481,12.098,12.196,9.0854,7.8795,5.1839
1,8.4027,9.4322,9.7585,9.246,10.276,11.861,11.404,8.8464,7.9787,5.6869
-1,7.3034,10.169,9.2883,8.6571,10.407,11.589,10.629,8.54,7.5157,6.9342
-1,13.258,8.8562,10.967,9.9802,11.079,12.387,10.997,8.2825,6.6406,5.6884
-1,8.513,9.2402,11.268,11.439,10.138,12.821,11.449,9.4963,7.561,9.2645
-1,10.762,9.8097,11.01,11.129,8.1931,12.961,10.697,9.5375,7.5631,8.2743
-1,13.343,11.006,9.6,10.017,10.848,12.159,10.404,8.8786,7.8747,7.9483
1,6.9149,9.5069,13.127,10.358,13.356,12.608,11.008,9.0096,7.3303,7.8627
-1,11.535,9.7134,11.235,11.997,10.315,12.627,11.081,9.3527,7.4519,5.7183
-1,10.69,9.6504,11.416,12.722,9.8184,13.615,10.658,9.3588,7.1198,7.9984
